letter,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15,x_16,y_16,x_17,y_17,x_18,y_18,x_19,y_19,x_20,y_20
T,681,686,742,660,800,627,840,610,863,602,774,537,841,537,858,561,858,578,756,542,827,534,837,541,836,541,739,561,802,555,812,558,810,555,724,592,770,588,779,590,781,588
T,664,691,725,662,781,623,811,599,819,588,748,539,805,535,815,557,810,574,722,538,782,512,789,501,789,484,698,554,745,527,750,512,748,492,675,583,709,561,713,549,713,533
T,647,691,707,658,760,612,780,580,773,567,717,533,764,521,767,545,756,564,685,528,730,483,734,457,732,428,654,539,684,492,684,462,681,430,623,566,644,529,643,506,641,480
T,633,689,691,653,740,603,749,564,728,545,686,526,723,506,728,531,719,555,650,516,682,453,689,414,694,374,614,523,629,457,631,413,632,371,578,547,587,495,587,461,588,427
T,619,685,680,652,726,599,727,554,696,530,660,516,686,490,692,515,686,542,620,500,639,423,650,371,660,323,580,504,583,421,586,366,592,317,540,526,539,461,540,418,544,380
T,619,686,680,651,724,598,727,552,698,525,659,514,687,487,692,513,685,542,618,498,638,420,649,368,659,319,578,502,579,419,581,364,586,315,539,526,536,460,537,418,540,378
T,622,688,683,653,727,600,733,553,704,525,660,516,688,486,697,513,693,542,620,500,640,421,652,368,662,319,580,504,581,420,583,365,588,316,541,527,538,462,539,420,541,379
T,626,690,686,655,730,601,739,554,710,524,662,516,690,487,701,515,700,546,622,500,643,421,656,369,668,319,582,504,584,421,586,365,592,316,544,528,540,463,541,420,544,380
T,629,689,688,654,732,600,742,552,712,524,665,516,693,485,703,514,702,546,625,499,646,421,659,369,671,320,585,503,586,421,588,365,594,316,546,527,542,462,542,419,544,379
T,631,688,691,653,734,597,744,548,712,521,667,514,694,484,704,515,703,551,627,498,648,421,661,369,673,320,587,502,588,420,590,365,596,315,549,526,543,461,543,418,545,378
T,630,685,692,649,735,593,744,542,708,520,667,512,695,484,703,517,700,554,627,496,648,420,661,369,673,320,587,500,588,418,590,363,596,314,548,523,543,459,542,417,544,377
T,628,681,690,646,733,588,742,537,704,518,665,510,694,485,701,520,696,557,625,494,646,419,659,368,670,319,585,498,586,417,588,362,594,313,545,521,540,457,539,415,541,376
T,623,677,685,642,728,584,737,532,697,515,662,508,691,484,697,518,690,554,621,492,641,417,652,366,662,317,580,496,582,414,584,360,589,312,541,518,535,455,534,413,537,374
T,618,673,680,638,722,579,731,526,691,511,657,506,687,483,692,513,685,547,616,490,636,415,646,364,654,314,575,494,577,412,579,359,584,310,536,515,530,452,529,412,532,373
T,611,670,673,636,716,575,726,520,684,507,650,503,681,480,685,511,677,545,609,488,629,412,638,361,646,312,568,491,570,410,573,357,578,309,529,513,524,451,523,410,525,371
T,605,667,667,634,710,572,720,517,679,503,645,501,675,478,679,507,671,540,604,486,622,411,631,359,638,310,563,489,565,409,568,355,573,307,524,512,519,449,518,409,520,370
T,601,665,663,632,706,568,716,512,674,500,640,499,669,476,673,506,664,540,599,484,616,410,625,358,633,309,559,488,560,408,563,354,569,306,521,510,515,449,514,408,516,369
T,597,663,661,631,702,567,713,510,671,498,636,497,664,475,668,506,660,541,596,483,613,409,622,358,631,310,556,487,558,407,561,354,567,305,518,509,512,448,512,408,514,368
T,594,663,658,631,699,566,710,510,668,498,632,497,660,474,664,506,657,541,593,482,610,409,619,358,628,310,553,486,555,406,558,353,564,305,515,509,510,448,509,407,512,368
T,594,663,656,630,697,567,707,511,668,497,630,496,658,473,663,504,656,538,591,482,608,408,617,357,626,309,552,486,553,406,556,352,562,304,514,509,508,447,508,407,510,368
T,592,664,654,630,695,568,706,512,667,497,627,497,655,473,661,504,655,538,589,482,606,407,615,356,625,309,550,486,552,405,555,352,561,304,513,508,507,447,506,406,509,368
T,592,664,653,630,694,569,704,514,666,498,627,497,655,473,661,502,655,534,588,482,605,407,614,355,623,308,550,486,551,405,554,352,560,304,512,508,507,447,506,406,508,368
T,592,665,653,630,694,569,704,513,665,497,626,497,654,473,660,503,654,536,588,482,604,407,613,355,622,307,549,486,550,406,553,353,559,304,512,509,506,448,505,407,507,369
T,592,664,654,629,696,567,705,511,666,496,628,496,654,473,659,505,653,540,588,482,604,407,612,355,621,308,550,486,550,406,553,353,558,305,513,509,506,448,505,407,507,369
T,593,663,655,628,696,566,705,510,666,496,628,496,655,473,659,503,653,537,589,482,605,407,613,356,622,308,550,486,551,406,553,353,559,305,513,509,506,448,506,407,508,369
T,594,663,656,628,698,566,706,510,666,496,629,496,656,472,660,502,654,536,589,481,605,407,614,355,623,308,550,486,551,406,554,353,560,304,513,509,507,448,506,407,508,369
T,596,665,658,628,700,565,708,509,669,491,628,497,655,471,664,502,662,538,589,484,604,411,616,364,629,320,550,489,551,410,556,359,565,314,514,512,507,452,508,412,513,375
T,598,665,659,628,701,562,709,504,669,484,630,494,654,463,664,498,663,540,591,485,601,411,612,380,625,358,552,491,549,414,556,378,566,354,514,514,506,454,510,424,519,403
T,602,667,660,625,702,559,708,501,669,478,630,494,651,459,665,497,668,540,591,489,600,419,617,412,632,414,551,498,552,427,568,416,582,414,512,522,512,466,524,453,536,450
T,604,667,662,623,704,556,706,496,666,471,629,492,647,454,665,497,670,543,591,492,602,429,622,446,636,468,551,503,557,441,579,455,593,472,510,528,518,477,537,482,550,494
T,605,666,663,621,705,552,705,491,664,465,629,489,646,454,665,500,672,548,590,493,604,439,626,477,641,515,551,507,562,454,588,488,603,522,509,531,525,487,548,507,561,532
T,621,675,677,631,720,561,721,501,685,471,640,488,664,463,684,513,692,562,600,494,628,463,651,517,664,565,561,511,590,483,618,533,632,578,522,538,553,510,579,545,592,580
T,632,683,690,642,732,577,734,523,706,491,656,502,683,478,704,526,713,573,618,504,648,470,677,510,696,543,579,517,605,483,631,514,647,541,542,542,565,509,584,529,593,547
T,640,690,697,652,740,589,745,539,724,506,667,512,695,487,717,533,727,578,630,509,660,472,690,492,713,508,593,519,611,477,631,486,647,492,557,543,568,504,578,505,583,505
T,645,693,702,658,744,598,752,552,738,517,675,520,704,494,727,539,736,582,639,513,666,471,697,471,723,470,602,520,612,470,627,457,641,445,569,542,567,498,569,482,570,467
T,645,694,701,660,741,602,753,559,743,523,677,524,706,495,728,539,737,582,642,513,665,463,693,445,717,428,605,519,606,460,614,428,624,401,572,541,561,490,556,461,554,434
T,638,690,694,657,733,600,744,557,734,522,673,526,698,491,720,533,728,576,639,512,654,450,678,416,699,386,602,516,591,443,593,396,600,356,569,536,547,476,537,435,530,398
T,637,687,691,654,729,595,739,551,727,515,670,522,695,485,716,527,722,569,636,508,650,443,670,406,686,371,600,512,588,438,589,390,592,348,566,532,545,472,535,432,529,395
T,637,685,691,652,729,594,738,549,723,514,671,520,696,481,715,523,720,565,637,506,651,438,668,398,680,360,601,510,591,434,591,386,592,342,568,531,548,471,540,430,534,393
T,638,685,692,653,730,593,738,547,722,512,673,518,699,480,718,522,722,563,640,504,654,434,669,393,680,352,605,509,596,432,596,383,597,338,572,531,555,470,548,429,542,392
T,643,685,698,654,737,593,746,546,731,512,683,518,710,479,728,521,732,562,649,504,666,433,681,391,692,351,615,509,610,431,611,381,612,336,583,531,568,470,562,429,558,391
T,648,686,703,656,743,593,754,547,743,513,691,518,719,480,736,523,741,564,658,504,677,432,693,390,705,350,624,509,622,430,624,381,626,335,592,531,580,470,575,429,571,392
T,652,687,706,656,748,593,761,547,753,512,697,518,725,480,743,523,747,564,665,504,685,433,702,391,714,350,631,509,631,430,633,381,636,335,600,531,589,470,583,430,579,392
T,655,686,710,654,751,591,766,546,760,512,701,517,729,479,747,523,752,564,670,503,690,432,708,391,721,351,636,508,636,430,640,381,643,335,605,530,595,469,590,430,586,392
T,658,684,712,652,754,590,769,545,764,511,704,517,733,479,751,522,755,563,673,502,695,432,713,391,726,351,640,507,641,429,645,380,648,335,609,529,600,468,594,429,590,391
T,660,681,714,649,754,588,770,543,762,508,705,515,733,477,751,520,755,560,674,500,695,431,714,390,728,350,641,505,642,428,646,380,651,335,610,526,601,466,595,427,591,390
T,662,678,715,645,755,585,773,541,766,506,705,514,734,475,752,517,755,557,675,499,696,430,715,389,730,349,642,503,643,427,648,379,653,334,611,524,602,465,596,426,592,388
T,663,673,716,641,756,581,776,537,772,502,706,511,735,473,753,515,757,555,676,496,698,428,716,388,731,348,643,501,646,425,650,377,655,332,613,522,603,463,597,424,593,386
T,665,670,717,638,757,578,778,535,775,501,707,509,737,471,755,513,758,553,677,494,699,426,717,386,731,347,644,499,647,424,652,376,656,331,614,520,605,461,599,422,595,386
T,666,666,718,635,757,576,779,533,777,499,708,506,738,469,756,511,759,551,677,492,700,425,718,385,731,346,646,497,649,422,654,374,658,331,616,518,606,460,601,421,596,384
T,668,662,720,630,759,572,782,530,785,496,710,504,740,467,758,509,762,549,679,490,701,422,719,383,733,345,647,495,651,421,657,373,661,330,617,515,609,457,603,419,599,383
T,670,658,721,626,760,568,783,526,786,493,711,502,742,465,760,507,763,546,681,488,703,421,720,381,733,344,649,493,653,420,659,372,663,330,619,513,611,455,606,417,601,381
T,672,654,722,621,759,566,780,526,782,495,711,499,741,463,759,504,762,544,681,486,702,419,719,380,733,343,650,491,653,418,659,370,664,329,620,510,611,453,606,415,602,380
T,672,651,722,618,759,563,778,524,778,494,710,497,740,461,758,502,761,541,681,484,701,417,719,378,733,341,649,488,653,416,659,369,665,328,619,508,611,451,606,413,602,378
T,672,649,721,616,758,561,776,522,772,494,709,495,738,458,756,499,760,538,680,482,700,415,718,376,732,339,649,487,653,415,659,369,665,327,619,506,610,450,605,412,602,377
T,671,646,720,614,757,559,775,520,771,494,708,493,736,456,754,497,758,537,678,480,698,414,717,375,732,338,648,485,651,414,657,368,663,326,618,505,609,449,604,410,601,376
T,670,645,719,612,755,558,771,520,766,494,706,490,734,454,753,496,757,536,677,478,697,412,716,373,731,336,646,483,649,412,655,367,661,326,617,503,608,448,603,410,600,375
T,669,641,718,610,754,555,770,518,766,493,705,487,732,451,750,493,755,534,676,475,695,410,715,371,731,334,645,481,648,411,654,365,660,324,616,501,607,446,601,408,598,373
T,668,638,716,607,753,552,768,515,761,492,704,484,730,448,748,491,752,531,675,473,694,408,714,369,730,332,645,478,647,408,653,363,659,322,616,499,606,443,600,406,597,372
T,667,634,715,604,752,550,769,515,765,491,703,483,729,447,747,489,751,529,674,470,693,406,713,368,730,331,644,476,646,406,652,361,658,320,616,496,605,441,599,404,595,370
T,667,629,714,600,750,548,767,513,763,489,702,479,728,443,745,485,749,525,674,467,693,404,713,366,729,330,644,473,646,403,651,359,657,319,616,493,605,439,598,402,594,369
T,667,625,714,596,749,545,765,510,760,486,701,477,727,441,744,481,747,521,674,465,693,402,712,364,728,328,644,470,646,401,651,357,658,317,616,490,604,436,598,400,594,367
T,667,623,714,594,748,544,764,509,759,485,701,476,726,439,744,478,747,516,674,464,693,400,712,363,728,328,644,469,646,400,651,356,657,316,616,488,604,435,598,399,593,366
T,668,620,714,592,748,542,765,509,761,484,701,474,726,436,743,475,746,513,674,462,693,399,712,362,727,327,645,467,646,398,651,354,657,315,617,486,604,433,598,398,594,365
T,669,617,714,590,749,541,766,509,762,485,702,472,726,435,742,472,746,510,675,460,693,398,712,361,727,327,646,465,646,396,652,353,658,314,617,484,604,432,598,397,594,364
T,668,614,713,587,746,539,761,507,756,482,702,470,724,433,740,470,743,507,674,458,692,397,711,361,725,327,645,462,645,394,651,352,656,313,616,481,602,429,596,395,592,363
T,667,611,711,584,743,536,757,504,752,479,701,469,723,431,738,467,739,503,673,457,691,396,708,361,722,327,643,460,644,393,648,351,654,313,614,478,600,427,594,394,590,362
T,665,608,708,581,741,535,755,503,749,476,699,467,720,429,734,463,735,499,671,456,688,396,705,361,719,327,641,459,641,392,646,351,651,312,611,476,597,426,591,392,587,361
T,659,605,703,578,733,532,747,500,743,472,692,466,712,427,726,461,727,495,664,455,679,395,696,359,709,325,633,457,632,390,637,348,641,310,603,473,589,423,583,390,579,358
T,652,603,695,575,724,529,734,493,728,462,685,465,703,426,714,458,714,492,656,452,669,394,685,358,697,323,625,454,623,388,626,346,631,308,595,470,581,421,574,387,570,357
T,646,601,689,573,716,526,725,488,718,455,677,464,694,425,704,456,704,490,648,451,660,392,675,355,686,321,617,453,614,386,616,344,621,306,587,468,572,419,565,386,561,355
T,635,599,678,571,705,525,715,487,708,453,666,461,682,423,691,454,691,488,637,449,648,390,661,352,670,316,606,450,602,383,603,342,607,303,577,467,561,417,553,384,549,353
T,627,596,669,568,697,523,706,486,701,452,658,458,672,419,680,452,680,487,628,446,637,387,649,349,657,313,597,448,591,380,592,339,595,300,568,465,551,415,543,382,538,351
T,622,594,662,567,691,522,700,485,693,452,652,455,665,416,673,450,672,485,622,443,630,385,640,348,647,311,590,446,584,379,584,337,586,299,562,464,544,415,536,381,531,350
