letter,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15,x_16,y_16,x_17,y_17,x_18,y_18,x_19,y_19,x_20,y_20
G,590,604,622,557,657,508,688,475,711,453,632,462,679,428,721,428,751,436,623,468,660,421,672,399,679,383,609,484,631,429,638,403,643,384,592,506,598,461,596,437,596,420
G,538,611,568,552,616,504,659,479,690,469,608,462,674,436,724,435,761,439,610,484,659,451,660,440,654,432,605,513,637,471,635,456,631,445,595,545,610,505,603,490,598,481
G,493,605,519,540,573,493,625,475,661,477,576,458,654,439,710,435,752,436,585,492,649,474,639,473,621,471,588,531,632,503,622,498,609,493,585,570,610,538,598,532,587,529
G,444,614,468,539,529,491,589,479,630,487,547,455,640,441,700,436,745,432,563,499,637,493,617,500,587,502,573,547,624,530,605,534,583,536,576,592,606,568,588,569,572,573
G,414,615,431,538,495,490,562,483,604,499,522,456,623,445,688,440,737,435,543,508,625,509,596,522,557,528,557,564,615,553,589,563,559,569,565,613,600,593,575,600,554,608
G,403,625,424,544,489,495,556,488,600,505,514,455,619,445,682,440,730,434,534,508,618,513,589,526,552,531,550,563,609,557,582,567,552,572,558,613,593,596,569,605,548,613
G,407,624,425,547,487,496,554,485,597,494,510,463,613,450,677,444,725,438,529,513,615,518,586,533,548,537,544,568,606,562,579,573,549,578,553,617,591,601,567,610,545,617
G,407,641,427,559,490,506,557,491,603,496,518,471,624,459,688,455,738,450,538,523,623,526,594,540,556,545,553,579,614,570,587,581,556,586,562,628,599,610,575,619,552,626
G,423,638,440,561,502,510,568,496,612,502,527,478,631,467,695,464,744,459,547,530,632,532,603,545,565,550,561,585,622,576,596,585,566,591,570,634,607,615,583,623,562,630
G,426,648,446,567,510,515,575,500,621,506,540,481,644,471,707,469,756,465,561,533,643,534,614,547,577,552,576,588,633,578,607,588,577,593,585,637,617,618,594,626,572,632
G,441,647,461,564,524,513,588,498,633,505,560,480,663,471,726,469,774,466,582,532,657,529,629,540,594,546,598,585,646,574,621,582,591,588,605,632,631,613,608,620,587,626
G,451,648,472,563,536,513,600,501,646,513,577,474,682,468,744,468,792,466,602,527,671,525,643,534,609,541,618,581,658,569,633,576,604,583,625,628,643,609,620,615,600,621
G,467,637,489,551,554,502,617,495,661,511,599,467,703,464,764,465,811,464,625,520,689,521,662,527,629,533,639,574,670,565,645,570,618,575,644,619,654,603,632,608,611,613
G,476,631,500,542,566,493,629,488,674,505,616,460,721,459,782,462,828,464,643,514,701,517,674,522,644,526,656,568,678,560,655,564,628,568,659,613,663,598,642,602,622,605
G,485,620,511,531,578,484,641,481,684,501,629,454,733,456,793,460,838,463,654,509,708,513,683,516,653,520,666,563,683,555,660,558,635,562,667,607,669,592,648,596,628,599
G,487,612,514,523,583,478,646,477,690,497,633,449,737,453,795,458,839,462,657,505,709,510,683,512,654,515,667,559,683,551,661,554,636,557,666,603,668,587,648,590,629,593
G,485,604,515,516,585,473,648,473,692,492,634,444,736,450,793,455,836,459,656,501,707,506,681,507,652,509,665,555,681,547,659,549,634,552,663,598,666,581,646,584,627,587
G,482,600,512,513,583,472,646,471,690,489,629,441,731,447,787,452,830,455,650,498,702,502,677,504,647,505,659,552,677,542,655,546,631,549,659,595,662,577,642,579,623,583
G,479,597,510,511,581,470,644,470,687,488,625,438,726,444,782,449,825,453,646,495,700,498,674,500,644,502,655,548,675,539,653,542,628,545,654,592,659,573,640,576,621,579
G,476,595,507,509,578,470,641,470,684,487,621,436,721,442,777,447,820,450,642,492,697,495,671,498,640,501,651,545,672,536,650,539,625,543,651,588,656,570,636,573,617,576
G,475,593,505,507,576,468,638,469,681,487,619,434,718,440,775,445,817,448,640,490,696,494,670,497,639,500,650,543,671,534,649,538,624,541,650,586,655,569,635,571,616,575
G,485,585,512,503,579,465,639,467,678,488,618,435,713,439,768,443,810,446,638,489,696,491,670,495,639,498,647,541,672,531,650,535,625,538,648,584,657,566,637,569,618,572
G,484,584,511,502,578,464,638,465,677,486,617,433,712,437,767,441,809,443,637,487,696,489,670,493,638,496,646,539,673,529,650,533,625,536,647,582,657,565,637,567,618,571
G,483,583,510,502,578,463,638,465,677,485,617,432,713,436,768,439,810,440,637,485,696,488,670,492,638,496,647,537,673,528,650,532,625,535,648,580,657,564,637,567,618,571
G,495,577,519,498,582,462,639,462,676,482,616,433,705,435,758,437,798,438,636,483,697,486,672,491,640,495,646,534,674,526,652,531,628,533,648,577,657,562,638,565,620,569
G,492,577,518,498,581,461,639,460,676,480,616,431,707,433,760,435,801,436,637,482,697,485,672,490,640,493,647,533,674,525,652,529,628,532,649,576,657,561,637,564,619,568
